Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Team
Richarlison,br BRA,FW,28-131,4,3,257.0,2.9,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.8,0.8,0.7,1.6,2.0,5.0,4.0,0.7,0.35,1.05,0.7,1.05,0.3,0.25,0.54,0.3,0.54,Matches,Tottenham-Hotspur
João Palhinha,pt POR,MF,30-071,4,3,243.0,2.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,1.0,7.0,3.0,0.37,0.0,0.37,0.37,0.37,0.13,0.0,0.13,0.13,0.13,Matches,Tottenham-Hotspur
Brennan Johnson,wls WAL,FW,24-118,4,3,220.0,2.4,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.9,0.9,0.2,1.1,7.0,5.0,17.0,0.82,0.0,0.82,0.82,0.82,0.37,0.07,0.44,0.37,0.44,Matches,Tottenham-Hotspur
Rodrigo Bentancur,uy URU,MF,28-085,3,2,200.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches,Tottenham-Hotspur
Lucas Bergvall,se SWE,MF,19-228,4,2,200.0,2.2,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.5,6.0,10.0,10.0,0.45,0.45,0.9,0.45,0.9,0.13,0.11,0.25,0.13,0.25,Matches,Tottenham-Hotspur
Mathys Tel,fr FRA,FW,20-144,3,1,99.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,2.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches,Tottenham-Hotspur
Archie Gray,eng ENG,MF,19-190,1,1,70.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Tottenham-Hotspur
Xavi Simons,nl NED,FW,22-150,1,1,70.0,0.8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,6.0,4.0,6.0,0.0,1.29,1.29,0.0,1.29,0.04,0.16,0.2,0.04,0.2,Matches,Tottenham-Hotspur
Wilson Odobert,fr FRA,"FW,MF",20-294,4,0,73.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.4,2.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.37,0.16,0.52,0.37,0.52,Matches,Tottenham-Hotspur
Destiny Udogie,it ITA,DF,22-294,2,0,40.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.05,0.07,0.12,0.05,0.12,Matches,Tottenham-Hotspur
Dominic Solanke,eng ENG,FW,28-004,2,0,33.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.57,0.57,0.57,Matches,Tottenham-Hotspur
Kevin Danso,at AUT,DF,26-364,2,0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Tottenham-Hotspur
Ben Davies,wls WAL,"DF,MF",32-147,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Tottenham-Hotspur
Antonín Kinský,cz CZE,GK,22-189,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Tottenham-Hotspur
Randal Kolo Muani,fr FRA,"FW,MF",26-287,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Tottenham-Hotspur
Manor Solomon,il ISR,"FW,MF",26-056,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Tottenham-Hotspur
Luka Vušković,hr CRO,DF,18-206,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Tottenham-Hotspur
Squad Total,,,25.5,4,44,360.0,4.0,8.0,7.0,15.0,8.0,0.0,0.0,7.0,0.0,4.8,4.8,3.8,8.6,74.0,138.0,136.0,2.0,1.75,3.75,2.0,3.75,1.21,0.95,2.16,1.21,2.16,,Tottenham-Hotspur
Opponent Total,,,26.4,4,44,360.0,4.0,1.0,1.0,2.0,1.0,0.0,0.0,5.0,1.0,4.6,4.6,4.0,8.6,50.0,115.0,114.0,0.25,0.25,0.5,0.25,0.5,1.15,1.01,2.16,1.15,2.16,,Tottenham-Hotspur
Đorđe Petrović,rs SRB,GK,25-345,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Bournemouth
Antoine Semenyo,gh GHA,"FW,MF",25-254,4,4,360.0,4.0,3.0,2.0,5.0,2.0,1.0,1.0,1.0,0.0,2.7,1.9,0.4,2.3,12.0,15.0,22.0,0.75,0.5,1.25,0.5,1.0,0.67,0.1,0.77,0.47,0.57,Matches,Bournemouth
Marcos Senesi,ar ARG,DF,28-131,4,4,360.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.2,0.3,1.0,15.0,0.0,0.0,0.25,0.25,0.0,0.25,0.03,0.05,0.08,0.03,0.08,Matches,Bournemouth
Adrien Truffert,fr FRA,DF,23-302,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6,11.0,19.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.0,0.14,Matches,Bournemouth
Tyler Adams,us USA,MF,26-216,4,4,356.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.0,0.1,0.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Matches,Bournemouth
